"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo","passAttMedian","passCompMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"CHRISJOHNSON","Chris Johnson","RB","NYJ",78,163.670593406235,154.14,168.775,150.875,169.45,NA,164.735,183.9,189.75,154.1,163.5,155.275,191.625,184.375,168.15,147.05,0,0,164.649404761905,163.670593406235,58.0371425714857,14.8385100589389,12.5478,4.68501323841054
"JOIQUEBELL","Joique Bell","RB","DET",79,162.469133818218,154.035,178.7,160.075,175.325,NA,169.4125,142.725,178.575,175.5,178.25,168.9,155.5,195.025,164.475,151.775,0,0,165.046904761905,162.469133818218,57.1800939812038,13.8731362140455,12.6217,4.59066029185965
"SHANEVEREEN","Shane Vereen","RB","NE",80,160.77538125786,194.305,195.15,165.25,165.475,NA,171.92,121.375,159.525,158.125,149.125,152.825,169.875,172.325,175.95,172.375,0,0,164.08494047619,160.77538125786,52.5712857428514,18.4705818521249,9.5478,4.76918100551678
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",81,160.179162079271,207.9,175.84,82.52,153.6,NA,133.028,155.02,139,187.6,188,139.62,186.8,221.46,151.32,176.78,434,268.775,160.867476190476,160.179162079271,182.5,35.466078951863,14.3,7.03253632881689
"MIKEWALLACE","Mike Wallace","WR","MIA",82,159.9545681292,137.555,157.5,159.375,156.35,NA,160.8875,156.675,164.225,148,162.75,163.275,162.25,148.5,177.425,172.66,0,0,158.977781385281,159.9545681292,68.8915716856629,10.0217123987107,10.2065,3.9445993953266
"RAYRICE","Ray Rice","RB","BAL",83,158.325223673557,148.91,176.975,161.375,165.35,NA,170.97,150.75,193.975,149.2,142.375,146.825,149.75,169.15,162.225,152.2,0,0,157.669404761905,158.325223673557,64.0875024995001,14.2971021424039,18.3543,5.20568984386269
"MARQUESCOLSTON","Marques Colston","WR","NO",84,158.010031462238,195.09,152.625,156.75,149.375,NA,157.1625,157.375,175.375,131.375,148.5,157.875,162.625,167.375,161.875,163.475,0,0,158.801547619048,158.010031462238,71.9716956608678,14.392320684212,10.9565,4.47967969586353
"MATTSCHAUB","Matt Schaub","QB","OAK",85,156.199837008749,170.69,172.12,125.62,115.1,NA,145.982,189.66,183.2,162.8,164,120.86,168,217.76,161.98,88.13,459.5,277.500028992167,154.554607142857,156.199837008749,189.8,33.9567563501607,15.9,7.03271526131358
"TYHILTON","T.Y. Hilton","WR","IND",86,155.937352982329,52.885,148.625,149.625,168.475,NA,158.075,151.575,176.175,158.775,140.75,154.35,156,160.875,167.45,160.435,0,0,149.934761904762,155.937352982329,62.8852829434113,29.4506846503375,11.8652,6.15654326962094
"KENDALLWRIGHT","Kendall Wright","WR","TEN",87,155.815091660428,148.395,162.625,153,156.175,NA,155.3875,146.2,152.125,153.25,152.75,157.75,161,155.5,174.875,164.465,0,0,155.698625541126,155.815091660428,78.7582683463307,7.28594204927061,9.8891,3.62479654582229
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",88,152.669970443363,153.33,167.75,176.25,153.275,NA,162.15,148.8,141.625,139.875,159.25,142.5,168.25,106.375,163.875,155.52,0,0,152.017180735931,152.669970443363,75.9402219556089,17.1889720468524,13.0391,4.9815245927525
