"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk","avgCost","projectedCost","inflatedCost"
"Lance Kendricks","TE","STL",232,NA,47,34.2125,NA,36.7,61.25,34.2125,44.0541666666667,30.8306641671019,-79.3416666666667,NA,14.9438759056455,5.15489225193658,NA,1,1
"Andrew Hawkins","WR","CIN",233,NA,82,64.645,83.95,77.7,NA,64.645,76.1433333333333,62.2578851342329,-79.78,NA,9.85036843642579,3.96231595031938,NA,1,1
"John Kuhn","RB","GB",234,NA,77,33.3625,NA,46.6825,5.95,33.3625,28.665,21.6546446247963,-80.0491666666667,NA,20.7685824925535,6.5186689974106,NA,1,1
"E.J. Manuel","QB","BUF",235,179.5,29,128.502,84.62,179.312,113.64,128.502,125.210166666667,149.066790487651,-80.376,7.3,39.6334369735118,6.99150955840754,1.1,2,2
"Jon Baldwin","WR","KC",236,183.8,83,63.5875,42.25,64.5375,72.125,63.5875,60.5416666666667,63.8553673493724,-80.8375,12,12.8319222709096,4.38065383618227,NA,1,1
"Tony Moeaki","TE","KC",237,NA,48,32.6625,NA,54.9875,55.25,32.6625,47.6333333333333,33.1694172876145,-80.8916666666667,NA,12.9657863079465,4.69174916420244,NA,1,1
"Mychal Rivera","TE",NA,238,NA,49,32.625,NA,NA,NA,32.625,32.625,11.3464313050239,-80.9291666666667,NA,NA,NA,NA,1,1
"Knile Davis","RB","KC",239,195.5,78,31.8675,15.575,58.1925,52.075,31.8675,39.2608333333333,39.4899877417014,-81.5441666666667,43.5,19.478020411907,8.68905666382042,NA,1,1
"Shaun Draughn","RB","KC",240,NA,79,31.5825,58.45,39.645,26.95,31.5825,38.881875,41.8969450931231,-81.8291666666667,NA,13.8905470517123,4.90826946074574,NA,1,1
"Jason Snelling","RB","ATL",241,NA,80,31.575,35.975,41.55,34.05,31.575,35.6791666666667,41.743286314617,-81.8366666666667,NA,4.24286165223426,2.64939361882254,NA,1,1
"Domenik Hixon","WR","CAR",242,NA,84,62.1625,62,68.2,53.75,62.1625,61.528125,65.1228923156211,-82.2625,NA,5.93403297899779,3.04535865047521,NA,1,1
"Montario Hardesty","RB","CLE",243,200,81,31.1075,30.55,46.9925,33.1,31.1075,35.3541666666667,40.1693665240339,-82.3041666666667,9,7.78071306715094,3.45309313147338,NA,1,1
"Benjamin Watson","TE","NO",244,NA,50,31.1125,NA,38.6375,85.625,31.1125,51.7916666666667,31.5714898778599,-82.4416666666667,NA,29.5411110079383,8.5726386197054,NA,1,1
"Craig Stevens","TE","TEN",245,NA,51,30.75,NA,NA,66,30.75,48.375,18.2377247891807,-82.8041666666667,NA,24.9255140368258,7.49195863664294,NA,1,1
"Henry Hynoski","RB",NA,246,NA,82,30.1,NA,NA,NA,30.1,30.1,11.1756711442766,-83.3116666666667,NA,NA,NA,NA,1,1
