"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo"
"Josh Freeman","QB",226.716,5.4987504015708,2,"TB",27,133.8,15,210.74,234.55,242.52,226.716,227.689833333333,240.341525901529,2.95999999999998,16.7,13.560899515396,1.6,2,1
"Ben Roethlisberger","QB",226.662,4.94359694151519,5,"PIT",28,114.8,16,220.1,241.93,219.82,226.662,226.144666666667,231.724423815564,2.90599999999998,16.25,10.3620462586628,3.4,4,1
"LeSean McCoy","RB",226.5025,3.23221048886825,61,"PHI",29,8.25,9,220.125,241.12,223.625,226.5025,227.418125,229.783184827757,106.631666666667,2.7,9.22739972739703,49,56,40
"Julio Jones","WR",225.745,2.82387656504529,49,"ATL",30,20.45,5,219.775,228.2,215.9,225.745,224.073333333333,216.366864996365,75.4683333333333,4.15,5.59671183225769,39.3,45,39
"Michael Vick","QB",222.694,7.34177920658556,4,"PHI",31,118.1,17,193.74,245.102,234.1,222.694,222.867333333333,254.517859663726,-1.06200000000001,21.1,22.0955841440471,3.1,4,1
"Joe Flacco","QB",221.912,4.49204573320473,4,"BAL",32,125.9,18,215.38,231.018,214.2,221.912,219.385833333333,219.23599378143,-1.84399999999999,15.95,7.71279117224539,2.6,3,1
"Philip Rivers","QB",219.36,4.22477569879575,3,"SD",33,130.85,19,211.06,221.162,222,219.36,217.312166666667,211.050052943112,-4.39600000000002,17.35,5.01284227426584,2,3,1
"Demaryius Thomas","WR",218.7375,3.13126149167179,40,"DEN",34,23.15,6,216.125,226.5,207.5,218.7375,216.857291666667,216.093772195225,68.4608333333333,3.75,7.83365718523815,34.8,40,37
"Alfred Morris","RB",218.4675,3.05829926908913,51,"WAS",35,12.2,10,228.325,216.0325,229.3,218.4675,222.38125,219.113320411951,98.5966666666667,4.6,6.7609499147679,44.9,51,35
"Matt Schaub","QB",218.266,5.40812198303411,2,"HOU",36,153.7,20,221.38,224.51,199,218.266,214.730666666667,222.621497543594,-5.49000000000004,18.8,11.4792736704027,1.5,2,1
