"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushAtt","rushYds","rushTds","recTgts","rec","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"MARQISELEE","Marqise Lee","WR","JAX",0,0,0,3,9,0,68,37,422,1,0,0,0,49.1
"CHRISPOLK","Chris Polk","RB","PHI",0,0,0,46,172,4,3,2,16,0,1,0,0,48.8
"STEVANRIDLEY","Stevan Ridley","RB","NE",0,0,0,94,340,2,5,4,20,0,0,0,0,48
"BERNARDPIERCE","Bernard Pierce","RB","BAL",0,0,0,93,366,2,6,2,13,0,0,0,1,47.9
"JUWANTHOMPSON","Juwan Thompson","RB","DEN",0,0,0,54,272,3,7,4,25,0,0,0,0,47.7
"JOSHHILL","Josh Hill","TE","NO",0,0,0,0,0,0,20,14,176,5,0,0,0,47.6
"ANTHONYFASANO","Anthony Fasano","TE","KC",0,0,0,0,0,0,36,25,226,4,0,0,0,46.6
"ZACSTACY","Zac Stacy","RB","STL",0,0,0,76,293,1,23,18,152,0,0,0,2,46.5
"JACEAMARO","Jace Amaro","TE","NYJ",0,0,0,0,0,0,53,38,345,2,0,0,0,46.5
"MICHAELVICK","Michael Vick","QB","NYJ",604,3,2,26,153,0,0,0,0,0,0,0,2,45.46
"KAMARAIKEN","Kamar Aiken","WR","BAL",0,0,0,0,0,0,32,24,267,3,0,0,0,44.7
"JORDANREED","Jordan Reed","TE","WAS",0,0,0,0,0,0,65,50,465,0,0,0,1,44.5
"DONALDBROWN","Donald Brown","RB","SD",0,0,0,85,223,0,41,29,211,0,0,0,0,43.4
"JOHNCARLSON","John Carlson","TE","ARI",0,0,0,0,0,0,55,33,350,1,0,1,0,43
"JEFFCUMBERLAND","Jeff Cumberland","TE","NYJ",0,0,0,0,0,0,47,23,247,3,0,0,0,42.7
"CHARLESSIMS","Charles Sims","RB","TB",0,0,0,66,185,1,27,19,190,0,0,0,1,41.5
"JASONAVANT","Jason Avant","WR","KC",0,0,0,1,1,0,62,34,353,1,0,0,0,41.4
"DAMARISJOHNSON","Damaris Johnson","WR","HOU",0,0,0,5,19,0,49,31,331,1,0,0,0,41
"DANIELTHOMAS","Daniel Thomas","RB","MIA",0,0,0,44,168,2,19,13,121,0,0,1,1,40.9
